Error while scraping https://www.hltv.org/stats/players/10705/kntz?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11231/subroza?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8771/ustilo?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/2555/yam?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/18738/roflko?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9358/dev7l?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/19815/dytor?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11576/shuadapai?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9875/food?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8095/aizy?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13982/forester?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10870/kabal?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13396/hoody?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8255/cyberfocus?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/11276/marko?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/317/pashabiceps?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/10992/dragonfly?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/8346/jdm64?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9961/montty?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/9008/fanat-rocka?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/2529/maluk3?startDate=2021-01-01&endDate=2021-12-31, skipping file
Error while scraping https://www.hltv.org/stats/players/13228/voltage?startDate=2021-01-01&endDate=2021-12-31, skipping file
