gX,gY,idx
-1655.1724137931035,206.8965517241379,0
-1655.1724137931035,379.3103448275863,1
-1655.1724137931035,551.7241379310346,2
-1655.1724137931035,724.1379310344828,3
-1482.7586206896551,34.482758620689765,4
-1482.7586206896551,206.8965517241379,5
-1482.7586206896551,379.3103448275863,6
-1482.7586206896551,551.7241379310346,7
-1482.7586206896551,724.1379310344828,8
-1250.0,206.896552,9
-1250.0,379.310345,10
-1250.931034,525.423729,11
-965.5172413793102,-310.34482758620686,12
-965.5172413793102,-137.9310344827586,13
-793.1034482758621,-482.7586206896551,14
-793.1034482758621,-310.34482758620686,15
-793.1034482758621,-137.9310344827586,16
-620.6896551724137,-137.9310344827586,17
-448.27586206896535,-137.9310344827586,18
-275.8620689655172,-482.7586206896551,19
-275.8620689655172,-310.34482758620686,20
-275.8620689655172,-137.9310344827586,21
-80.0,-482.7586206896551,22
-103.44827586206884,-137.9310344827586,23
120.0,-482.7586206896551,24
68.96551724137953,-137.9310344827586,25
320.0,-482.7586206896551,26
241.3793103448279,-137.9310344827586,27
320.0,-655.1724137931035,28
413.7931034482758,-137.9310344827586,29
540.0,-655.1724137931035,30
586.2068965517242,-137.9310344827586,31
758.6206896551726,-655.1724137931035,32
758.6206896551726,-482.7586206896551,33
758.6206896551726,-310.34482758620686,34
758.6206896551726,-137.9310344827586,35
931.0344827586208,-655.1724137931035,36
931.0344827586208,-482.7586206896551,37
931.0344827586208,-310.34482758620686,38
931.0344827586208,-137.9310344827586,39
2137.931034482759,2275.862068965517,40
2137.931034482759,2448.2758620689656,41
2137.931034482759,2620.689655172414,42
2137.931034482759,2793.1034482758623,43
2310.3448275862074,2103.4482758620693,44
2310.3448275862074,2275.862068965517,45
2310.3448275862074,2448.2758620689656,46
2310.3448275862074,2620.689655172414,47
2482.758620689656,2103.4482758620693,48
2482.758620689656,2275.862068965517,49
-1661.0169491525423,-67.7966101694916,50
-1491.5254237288136,-152.54237288135596,51
-1491.5254237288136,-67.7966101694916,52
-1406.7796610169491,-152.54237288135596,53
-1322.033898305085,-152.54237288135596,54
-1237.2881355932204,-406.7796610169492,55
-1237.2881355932204,-322.0338983050848,56
-1237.2881355932204,-237.28813559322043,57
-1152.542372881356,-322.0338983050848,58
-1067.7966101694915,-406.7796610169492,59
-1067.7966101694915,-322.0338983050848,60
-983.0508474576272,16.949152542372758,61
-983.0508474576272,101.69491525423724,62
-1070.0,525.423729,63
-898.3050847457628,525.4237288135591,64
-813.5593220338983,16.949152542372758,65
-813.5593220338983,271.18644067796595,66
-813.5593220338983,355.9322033898304,67
-813.5593220338983,440.6779661016949,68
-813.5593220338983,525.4237288135591,69
-813.5593220338983,610.1694915254236,70
-813.5593220338983,779.6610169491523,71
-728.813559322034,16.949152542372758,72
-728.813559322034,101.69491525423724,73
-728.813559322034,186.4406779661017,74
-728.813559322034,271.18644067796595,75
-728.813559322034,355.9322033898304,76
-728.813559322034,440.6779661016949,77
-728.813559322034,525.4237288135591,78
-728.813559322034,610.1694915254236,79
-728.813559322034,694.9152542372881,80
-728.813559322034,779.6610169491523,81
-644.0677966101696,16.949152542372758,82
-644.0677966101696,440.6779661016949,83
-644.0677966101696,525.4237288135591,84
-644.0677966101696,610.1694915254236,85
-644.0677966101696,694.9152542372881,86
-644.0677966101696,779.6610169491523,87
-559.3220338983051,16.949152542372758,88
-559.3220338983051,101.69491525423724,89
-559.3220338983051,186.4406779661017,90
-559.3220338983051,271.18644067796595,91
-559.3220338983051,355.9322033898304,92
-559.3220338983051,440.6779661016949,93
-559.3220338983051,525.4237288135591,94
-559.3220338983051,610.1694915254236,95
-559.3220338983051,694.9152542372881,96
-559.3220338983051,779.6610169491523,97
-559.3220338983051,864.4067796610168,98
-474.57627118644086,101.69491525423724,99
-474.57627118644086,186.4406779661017,100
-474.57627118644086,440.6779661016949,101
-474.57627118644086,525.4237288135591,102
-474.57627118644086,610.1694915254236,103
-474.57627118644086,694.9152542372881,104
-474.57627118644086,779.6610169491523,105
-474.57627118644086,864.4067796610168,106
-389.8305084745764,16.949152542372758,107
-389.8305084745764,101.69491525423724,108
-389.8305084745764,186.4406779661017,109
-389.8305084745764,271.18644067796595,110
-389.8305084745764,355.9322033898304,111
-389.8305084745764,779.6610169491523,112
-389.8305084745764,864.4067796610168,113
-305.0847457627119,186.4406779661017,114
-305.0847457627119,271.18644067796595,115
-305.0847457627119,355.9322033898304,116
-305.0847457627119,779.6610169491523,117
-305.0847457627119,864.4067796610168,118
-220.33898305084767,16.949152542372758,119
-220.33898305084767,101.69491525423724,120
-220.33898305084767,186.4406779661017,121
-220.33898305084767,271.18644067796595,122
-220.33898305084767,355.9322033898304,123
-220.33898305084767,779.6610169491523,124
-220.33898305084767,864.4067796610168,125
-135.5932203389832,16.949152542372758,126
-135.5932203389832,271.18644067796595,127
-135.5932203389832,355.9322033898304,128
-135.5932203389832,779.6610169491523,129
-135.5932203389832,864.4067796610168,130
-50.84745762711873,16.949152542372758,131
-50.84745762711873,101.69491525423724,132
-50.84745762711873,186.4406779661017,133
-50.84745762711873,271.18644067796595,134
-50.84745762711873,779.6610169491523,135
-50.84745762711873,864.4067796610168,136
-50.84745762711873,1372.8813559322034,137
33.89830508474552,16.949152542372758,138
33.89830508474552,101.69491525423724,139
33.89830508474552,271.18644067796595,140
33.89830508474552,525.4237288135591,141
33.89830508474552,610.1694915254236,142
33.89830508474552,694.9152542372881,143
33.89830508474552,779.6610169491523,144
33.89830508474552,864.4067796610168,145
33.89830508474552,1372.8813559322034,146
33.89830508474552,1457.6271186440677,147
33.89830508474552,2474.5762711864404,148
33.89830508474552,2559.3220338983047,149
33.89830508474552,2644.0677966101694,150
33.89830508474552,2728.8135593220336,151
33.89830508474552,2813.559322033898,152
33.89830508474552,2898.3050847457625,153
33.89830508474552,2983.050847457627,154
33.89830508474552,3067.796610169491,155
33.89830508474552,3152.542372881356,156
33.89830508474552,3237.2881355932204,157
118.64406779661022,101.69491525423724,158
118.64406779661022,440.6779661016949,159
118.64406779661022,525.4237288135591,160
118.64406779661022,610.1694915254236,161
118.64406779661022,694.9152542372881,162
118.64406779661022,779.6610169491523,163
118.64406779661022,864.4067796610168,164
