player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,rounds_played,APR,saved_by_teammatePR,saved_teammatesPR,rounds_with_kils,KD_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,maps_W%,rating_2.0_1+,rating_2.0_1+_streak,rating_1.0_all_Career,clutches_won_1on1,clutches_lost_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
XANTARES,0.863013698630137,0.29729729729729715,0.8596491228070176,0.7956989247311825,1.0,0.8333333333333331,0.23604960141718337,0.5122377622377623,0.2005813953488372,0.7864077669902914,1.0,0.9746835443037977,0.22033898305084745,0.23549144582354914,0.6000000000000001,0.2222222222222222,0.5833333333333334,0.2376563528637261,0.5008680555555555,0.25326370757180156,0.15859030837004406,0.2947658402203857,0.6363636363636364,0.5569176882661998,0.6376811594202898,0.18880351262349068,0.23863636363636362,0.21559633027522937,0.22388059701492538,0.1875,0.0,0.25188187608569773,0.007820136852394917,0.09268292682926829,0.15441176470588236,0.19148936170212766,0.07692307692307693,0.5710000000000001,0.8488120950323974,0.21621621621621623,0.7380952380952381,0.3333333333333333,0.16666666666666666,0.043478260869565216,0.0,0.0,0.0
sh1ro,0.8493150684931506,0.216216216216216,0.8596491228070176,0.7526881720430105,0.7047353760445683,0.9166666666666666,0.6691762621789193,0.1835664335664336,0.5300387596899224,0.9223300970873789,0.7047353760445683,0.3291139240506329,0.6186440677966102,0.6454209996645421,0.26666666666666666,0.11111111111111116,0.6666666666666666,0.6649111257406188,0.759548611111111,0.5117493472584856,0.22246696035242294,0.4545454545454546,0.556818181818182,0.5394045534150614,0.4396135265700482,0.5032930845225027,0.6590909090909092,0.591743119266055,0.7462686567164178,0.40625,0.25,0.24203821656050956,0.772238514173998,0.1902439024390244,0.5980392156862745,0.5957446808510638,0.5,0.48,0.7915766738660908,0.2702702702702703,0.8809523809523809,0.8148148148148148,0.5,0.7391304347826086,0.16666666666666666,0.0,0.0
ZywOo,1.0,0.24324324324324298,0.9999999999999996,1.0,0.9164345403899721,0.9999999999999999,1.0,0.3916083916083916,0.757751937984496,1.0000000000000002,0.9164345403899721,0.30379746835443044,0.8983050847457628,0.9188191881918819,0.5333333333333332,0.33333333333333326,0.5833333333333334,0.9519420671494404,0.9999999999999999,1.0,0.5110132158590309,0.3911845730027549,0.7045454545454545,0.5761821366024519,0.6376811594202898,0.7113062568605927,0.8688016528925621,1.0,1.0,1.0,0.75,0.6022003474232773,0.7331378299120235,0.2,1.0,0.425531914893617,0.23076923076923078,0.741,1.0,1.0,1.0,0.9259259259259258,0.41666666666666663,1.0,0.5,1.0,0.0
Ax1Le,0.7123287671232877,0.5135135135135136,0.6374269005847952,0.7526881720430105,0.8050139275766015,0.7916666666666664,0.6328609388839681,0.49475524475524474,0.6511627906976744,0.6310679611650487,0.8050139275766015,0.6455696202531646,0.6694915254237288,0.666890305266689,0.6000000000000001,0.33333333333333326,0.41666666666666663,0.6221198156682027,0.47135416666666663,0.6266318537859008,0.47356828193832606,0.24793388429752067,0.556818181818182,0.5586690017513135,0.5942028985507246,0.5740944017563118,0.6053719008264463,0.5940366972477065,0.5895522388059702,0.53125,1.0,0.6502605674580196,0.021505376344086023,0.23902439024390243,0.5220588235294118,0.5319148936170213,0.5384615384615385,0.457,0.6263498920086393,0.32432432432432434,0.5714285714285716,0.5555555555555556,0.41666666666666663,0.30434782608695654,0.16666666666666666,0.0,1.0
NiKo,0.8356164383561643,0.3783783783783783,0.7894736842105261,0.8494623655913978,0.9164345403899721,0.8541666666666666,0.8108945969884853,0.5944055944055944,0.7383720930232558,0.766990291262136,0.9164345403899721,0.759493670886076,0.8050847457627119,0.8161690707816169,0.6000000000000001,0.11111111111111116,0.5000000000000001,0.793285055957867,0.6640625,0.835509138381201,0.6497797356828194,0.23966942148760334,0.5909090909090912,0.5586690017513135,0.5942028985507246,0.6756311745334797,0.7603305785123967,0.7683486238532111,0.8432835820895522,0.59375,0.5,0.8332368268674001,0.02346041055718475,0.16097560975609757,0.7671568627450981,0.44680851063829785,0.8461538461538463,0.649,0.8131749460043197,0.4864864864864865,0.714285714285714,0.6666666666666666,0.75,0.30434782608695654,0.5,0.0,0.0
blameF,0.8356164383561643,0.2702702702702702,0.8421052631578942,0.7526881720430105,0.8857938718662952,0.8124999999999999,0.45438441098317095,0.3006993006993007,0.39001937984496127,0.8155339805825246,0.8857938718662952,0.9367088607594937,0.4406779661016949,0.46762831264676286,0.6000000000000001,0.2222222222222222,0.41666666666666663,0.4509545753785385,0.5894097222222221,0.4177545691906005,0.20925110132158592,0.3856749311294766,0.5909090909090912,0.5884413309982487,0.5555555555555556,0.3907793633369923,0.44938016528925623,0.3967889908256881,0.5,0.1875,1.0,0.46902142443543715,0.009775171065493646,0.2146341463414634,0.35049019607843135,0.44680851063829785,0.15384615384615385,0.46299999999999997,0.8596112311015119,0.35135135135135137,0.7380952380952381,0.5555555555555556,0.29166666666666663,0.21739130434782608,0.3333333333333333,0.0,0.0
NertZ,0.7397260273972605,0.4054054054054055,0.6666666666666665,0.7634408602150535,0.7353760445682451,0.7916666666666664,0.6563330380868024,0.5192307692307692,0.632267441860465,0.6990291262135926,0.7353760445682451,0.35443037974683544,0.6694915254237288,0.6913787319691378,0.4666666666666666,0.2222222222222222,0.41666666666666663,0.6484529295589203,0.5512152777777777,0.6318537859007832,0.4096916299559472,0.2947658402203857,0.5681818181818182,0.51138353765324,0.5024154589371981,0.5922063666300768,0.6425619834710744,0.5894495412844037,0.6044776119402985,0.6875,0.75,0.6878980891719745,0.011730205278592375,0.43414634146341463,0.4411764705882353,0.3191489361702128,0.11538461538461539,0.593,0.6933045356371491,0.16216216216216217,0.5714285714285716,0.7777777777777777,0.25,0.5652173913043478,1.0,0.3333333333333333,0.0
KSCERATO,0.8767123287671234,0.24324324324324298,0.9239766081871346,0.7849462365591395,0.8885793871866294,0.8333333333333331,0.4140832595217006,0.4545454545454544,0.3439922480620155,0.8446601941747576,0.8885793871866294,0.7088607594936709,0.3983050847457627,0.4196578329419658,0.6666666666666665,0.44444444444444453,0.41666666666666663,0.40684660961158653,0.5928819444444444,0.3524804177545692,0.17621145374449343,0.3829201101928375,0.556818181818182,0.6042031523642734,0.5265700483091786,0.3490669593852909,0.39462809917355374,0.38761467889908263,0.41044776119402987,0.3125,0.5,0.4406485234510712,0.016617790811339198,0.17560975609756097,0.26715686274509803,0.2765957446808511,0.38461538461538464,0.49,0.8153347732181426,0.21621621621621623,0.6904761904761902,0.5555555555555556,0.41666666666666663,0.34782608695652173,0.5,0.0,0.0
m0NESY,0.863013698630137,0.2702702702702702,0.8011695906432741,0.8387096774193545,0.7242339832869078,0.8958333333333331,0.8277236492471213,0.3356643356643357,0.693313953488372,0.8640776699029129,0.7242339832869078,0.1518987341772152,0.8050847457627119,0.8161690707816169,0.26666666666666666,0.5555555555555555,0.41666666666666663,0.8018433179723502,0.7777777777777777,0.856396866840731,0.37665198237885467,0.45730027548209373,0.7045454545454545,0.5814360770577932,0.6280193236714975,0.6684961580680571,0.7634297520661157,0.7935779816513763,0.7313432835820896,0.96875,1.0,0.31036479444122755,0.9716520039100685,0.1024390243902439,0.7549019607843137,0.23404255319148937,0.23076923076923078,0.649,0.8131749460043197,0.21621621621621623,0.8095238095238093,0.5925925925925926,0.8333333333333333,0.43478260869565216,0.16666666666666666,0.0,1.0
degster,0.7534246575342468,0.3513513513513513,0.7076023391812867,0.6989247311827957,0.6880222841225625,0.8124999999999999,0.20859167404782994,0.16958041958041953,0.17974806201550386,0.766990291262136,0.6880222841225625,0.18987341772151903,0.1864406779661017,0.20764844012076483,0.2,0.2222222222222222,0.5833333333333334,0.20934825543120472,0.48437499999999994,0.18276762402088773,0.08590308370044053,0.3856749311294766,0.5681818181818182,0.392294220665499,0.429951690821256,0.1668496158068057,0.20557851239669422,0.20642201834862386,0.18656716417910446,0.09375,0.25,0.06948465547191661,0.2756598240469208,0.03414634146341464,0.13970588235294118,0.1276595744680851,0.19230769230769232,0.375,0.7203023758099353,0.1891891891891892,0.7619047619047619,0.18518518518518517,0.25,0.17391304347826086,0.3333333333333333,0.0,0.0
