player_name,rating_2.0,DPR,KAST,Impact,ADR,KPR,total_kills,HS%,total_deaths,KD_ratio,dmgPR,grenade_dmgPR,maps_played,rounds_played,APR,saved_by_teammatePR,saved_teammatesPR,rounds_with_kils,KD_diff,total_opening_kills,total_opening_deaths,opening_kill_ratio,opening_kill_rating,team_W%_after_opening,opening_kill_in_W_rounds,0_kill_rounds,1_kill_rounds,2_kill_rounds,3_kill_rounds,4_kill_rounds,5_kill_rounds,rifle_kills,sniper_kills,smg_kills,pistol_kills,grenade_kills,other_kills,maps_W%,rating_2.0_1+,rating_2.0_1+_streak,rating_1.0_all_Career,clutches_won_1on1,clutches_lost_1on1,clutches_won_1on2,clutches_won_1on3,clutches_won_1on4,clutches_won_1on5
pancc,0.756097561,0.325581395,0.706451613,0.719626168,0.787190083,0.703703704,0.107646035,0.6756238,0.095561036,0.634782609,0.787190083,0.31,0.042270531,0.111716275,0.6875,0.444444444,0.5,0.112081514,0.429862102,0.091800357,0.075092937,0.371980676,0.555555556,0.692,0.435435435,0.104584527,0.113679424,0.099914603,0.095115681,0.104651163,0.0,0.103384992,0.00204978,0.075117371,0.110301769,0.144230769,0.045045045,0.629333333,0.722,0.242424242,0.499999858,0.128205128,0.128205128,0.022222222,0.230769231,0.0,0.0
skullz,0.841463415,0.209302326,0.864516129,0.719626168,0.758264463,0.796296296,0.429317714,0.646833013,0.334309494,0.773913043,0.758264463,0.16,0.160628019,0.410229491,0.375,0.444444444,0.611111111,0.435468219,0.659533999,0.289661319,0.189591078,0.492753623,0.530864198,0.807,0.402402402,0.370650839,0.423266389,0.415029889,0.390745501,0.430232558,0.285714286,0.423939641,0.007027818,0.156494523,0.500520291,0.346153846,0.072072072,0.885333333,0.799,0.696969697,0.499999858,0.5,0.5,0.533333333,0.230769231,0.0,0.0
lauNX,0.780487805,0.395348837,0.732258065,0.76635514,0.731404959,0.814814815,0.716004432,0.652591171,0.617909988,0.67826087,0.731404959,0.133333333,0.260869565,0.673710203,0.1875,0.5,0.555555556,0.71081999,0.645744175,0.600713012,0.49070632,0.371980676,0.592592593,0.708,0.459459459,0.613999181,0.668435013,0.701110162,0.706940874,0.720930233,0.642857143,0.64274062,0.120351391,0.327073552,0.739854318,0.355769231,0.117117117,0.768,0.682,0.575757576,0.499999858,0.397435897,0.397435897,0.577777778,0.692307692,0.2,0.0
SHiPZ,0.780487805,0.372093023,0.738709677,0.76635514,0.766528926,0.777777778,1.0,0.514395393,0.881319359,0.652173913,0.766528926,0.17,0.378019324,0.969615822,0.4375,0.5,0.5,1.0,0.686162625,0.865418895,0.769516729,0.333333333,0.567901235,0.731,0.474474474,0.904216128,0.941644562,1.0,0.98714653,0.88372093,0.5,0.938009788,0.108931186,0.352112676,1.0,0.701923077,1.0,0.802666667,0.72,0.575757576,0.499999858,0.551282051,0.551282051,0.933333333,0.307692308,0.2,0.0
fleav,0.865853659,0.23255814,0.793548387,0.794392523,0.747933884,0.87037037,0.119202153,0.099808061,0.088162762,0.817391304,0.747933884,0.116666667,0.04468599,0.109108678,0.25,0.5,0.5,0.12130034,0.487398954,0.098930481,0.05204461,0.642512077,0.691358025,0.75,0.534534535,0.092099877,0.122015915,0.101622545,0.120822622,0.139534884,0.071428571,0.039355628,0.12942899,0.006259781,0.110301769,0.134615385,0.018018018,0.632,0.711,0.303030303,0.499999858,0.179487179,0.179487179,0.111111111,0.076923077,0.2,0.0
Valiance,0.646341463,0.209302326,0.777419355,0.485981308,0.493801653,0.611111111,0.164318506,0.472168906,0.146115906,0.634782609,0.493801653,0.113333333,0.072463768,0.181101041,0.25,0.5,0.611111111,0.17491509,0.444127437,0.088235294,0.074349442,0.357487923,0.37037037,0.76,0.27027027,0.176831764,0.181508147,0.156276687,0.123393316,0.11627907,0.142857143,0.10685155,0.087262079,0.034428795,0.193548387,0.125,0.045045045,0.786666667,0.623,0.242424242,0.499999858,0.217948718,0.217948718,0.066666667,0.307692308,0.2,0.0
olofmeister,0.475609756,0.558139535,0.667741935,0.345794393,0.566115702,0.5,0.018204844,0.667946257,0.021115906,0.382608696,0.566115702,0.14,0.008454106,0.023057963,0.5,0.666666667,0.444444444,0.02134886,0.390870185,0.010695187,0.021561338,0.086956522,0.209876543,0.846,0.351351351,0.021080639,0.024630542,0.01793339,0.007712082,0.0,0.0,0.016924959,0.001464129,0.00312989,0.028095734,0.019230769,0.0,0.666666667,0.375,0.060606061,0.499999858,0.012820513,0.012820513,0.0,0.0,0.0,0.0
trk,0.707317073,0.302325581,0.835483871,0.588785047,0.615702479,0.648148148,0.589836948,0.562380038,0.545160296,0.608695652,0.615702479,0.16,0.257246377,0.629834542,0.4375,0.611111111,0.611111111,0.625667152,0.491203043,0.417112299,0.298884758,0.439613527,0.49382716,0.78,0.372372372,0.606631191,0.645699128,0.554227156,0.483290488,0.395348837,0.357142857,0.603996737,0.002928258,0.187793427,0.625390219,0.432692308,0.126126126,0.822666667,0.626,0.333333333,0.476190355,0.564102564,0.564102564,0.377777778,0.153846154,0.0,0.0
dexter,0.585365854,0.465116279,0.635483871,0.607476636,0.55785124,0.574074074,0.409846446,0.518234165,0.44744143,0.469565217,0.55785124,0.163333333,0.187198068,0.466236149,0.4375,0.555555556,0.444444444,0.430616206,0.252020922,0.39483066,0.371747212,0.309178744,0.530864198,0.748,0.459459459,0.475849366,0.440697234,0.382578992,0.33933162,0.348837209,0.214285714,0.401916803,0.011713031,0.200312989,0.433922997,0.384615385,0.09009009,0.794666667,0.397,0.121212121,0.476190355,0.243589744,0.243589744,0.133333333,0.230769231,0.0,0.0
SLOWLY,0.743902439,0.395348837,0.719354839,0.813084112,0.696280992,0.703703704,0.229064429,0.666026871,0.215782984,0.591304348,0.696280992,0.113333333,0.092995169,0.234500101,0.4375,0.611111111,0.5,0.224163028,0.423680456,0.25311943,0.228996283,0.323671498,0.666666667,0.716,0.573573574,0.231682358,0.203107238,0.236549957,0.241645244,0.162790698,0.285714286,0.230220228,0.008199122,0.109546166,0.227887617,0.067307692,0.036036036,0.752,0.667,0.242424242,0.476190355,0.141025641,0.141025641,0.155555556,0.076923077,0.0,0.0
